model,regime,confidence_level,T,V,p_hat,p_expected,LR_uc,uc_pvalue,uc_reject,n11,pi11,LR_ind,ind_pvalue,ind_reject,LR_cc,cc_pvalue,cc_reject,mean_VaR,mean_ES,mean_ES_to_VaR_ratio,small_sample
GARCH,All,0.95,3178,197,0.061989,0.05,8.9647,0.0028,True,17,0.086294,1.9263,0.1652,False,10.891,0.0043,True,0.014785,0.018715,1.2659,False
GARCH,Calm,0.95,1793,64,0.035694,0.05,8.5445,0.0035,True,5,0.078125,2.6458,0.1038,False,11.1903,0.0037,True,0.011866,0.015059,1.2691,False
GARCH,Stress,0.95,1385,133,0.096029,0.05,49.2384,0.0,True,7,0.052632,3.7103,0.0541,False,52.9487,0.0,True,0.018564,0.023449,1.2631,False
GARCH,All,0.99,3178,71,0.022341,0.01,36.1966,0.0,True,1,0.014085,0.2601,0.61,False,36.4567,0.0,True,0.021175,0.024369,1.1509,False
GARCH,Calm,0.99,1793,10,0.005577,0.01,4.2176,0.04,True,0,0.0,0.1122,0.7376,False,4.3298,0.1148,False,0.017059,0.019653,1.1521,False
GARCH,Stress,0.99,1385,61,0.044043,0.01,88.2161,0.0,True,1,0.016393,1.4983,0.2209,False,89.7144,0.0,True,0.026503,0.030474,1.1498,False
Heston,All,0.95,3178,213,0.067023,0.05,17.6006,0.0,True,33,0.15493,21.6131,0.0,True,39.2137,0.0,True,0.01937,0.024374,1.2583,False
Heston,Calm,0.95,1793,55,0.030675,0.05,16.2563,0.0001,True,6,0.109091,7.3224,0.0068,True,23.5787,0.0,True,0.018328,0.02308,1.2593,False
Heston,Stress,0.95,1385,158,0.114079,0.05,89.2852,0.0,True,25,0.158228,3.1451,0.0762,False,92.4303,0.0,True,0.02072,0.026049,1.2572,False
Heston,All,0.99,3178,121,0.038074,0.01,147.6571,0.0,True,14,0.115702,13.9177,0.0002,True,161.5748,0.0,True,0.027505,0.031574,1.1479,False
Heston,Calm,0.99,1793,23,0.012828,0.01,1.3294,0.2489,False,2,0.086957,4.5077,0.0337,True,5.8371,0.054,False,0.026048,0.029909,1.1483,False
Heston,Stress,0.99,1385,98,0.070758,0.01,220.4832,0.0,True,11,0.112245,2.3953,0.1217,False,222.8785,0.0,True,0.029392,0.033729,1.1476,False
HistSim,All,0.95,3178,149,0.046885,0.05,0.6625,0.4157,False,11,0.073826,2.1918,0.1387,False,2.8543,0.24,False,0.01588,0.024038,1.5137,False
HistSim,Calm,0.95,1793,24,0.013385,0.05,70.5411,0.0,True,0,0.0,0.6516,0.4195,False,71.1927,0.0,True,0.015205,0.022591,1.4858,False
HistSim,Stress,0.95,1385,125,0.090253,0.05,38.5439,0.0,True,9,0.072,0.5956,0.4403,False,39.1395,0.0,True,0.016755,0.025911,1.5464,False
HistSim,All,0.99,3178,35,0.011013,0.01,0.3191,0.5722,False,4,0.114286,12.2723,0.0005,True,12.5914,0.0018,True,0.027511,0.039541,1.4373,False
HistSim,Calm,0.99,1793,0,0.0,0.01,36.0405,0.0,True,0,0.0,-0.0,1.0,False,36.0405,0.0,True,0.025747,0.036219,1.4067,False
HistSim,Stress,0.99,1385,35,0.025271,0.01,22.9223,0.0,True,4,0.114286,6.4312,0.0112,True,29.3535,0.0,True,0.029796,0.043841,1.4714,False
Merton,All,0.95,3178,156,0.049087,0.05,0.056,0.8129,False,13,0.083333,3.4714,0.0624,False,3.5274,0.1714,False,0.015612,0.024006,1.5377,False
Merton,Calm,0.95,1793,27,0.015059,0.05,62.7724,0.0,True,0,0.0,0.8261,0.3634,False,63.5985,0.0,True,0.014921,0.022559,1.5119,False
Merton,Stress,0.95,1385,129,0.093141,0.05,43.7544,0.0,True,11,0.085271,0.1086,0.7418,False,43.863,0.0,True,0.016507,0.025879,1.5678,False
Merton,All,0.99,3178,31,0.009755,0.01,0.0195,0.889,False,2,0.064516,4.3527,0.037,True,4.3722,0.1124,False,0.029455,0.037368,1.2687,False
Merton,Calm,0.99,1793,0,0.0,0.01,36.0405,0.0,True,0,0.0,-0.0,1.0,False,36.0405,0.0,True,0.027469,0.034719,1.2639,False
Merton,Stress,0.99,1385,31,0.022383,0.01,15.8689,0.0001,True,2,0.064516,1.7358,0.1877,False,17.6047,0.0002,True,0.032026,0.040798,1.2739,False
